No.,Year,Prefecture,Prefecture total production(m),production change,public affair(m),public change,education(m),educ change,health and social welfare(m),social change,Received,Received change,Deduction,Deduction change,Residents Total Income(m),Income change,labornum(t),workinghour(per month),labor input (per month),labor change,Company stock(b),stock change,Deflator (2011 based)
1,20,Hokkaido,"18,081,084",,"1,468,230",,"778,133",,"1,590,444",,"934,616,765",,"77,650,000",,"18,072,079",,1793.2,151.9,272387.08,,23035.1,,1.020501702
1,21,Hokkaido,"17,960,612",-0.0067,"1,462,704",-0.0038,"806,511",0.0365,"1,667,551",0.0485,"1,206,358,178",0.2908,"90,252,000",0.1623,"17,948,502",-0.0068,1735.3,148.3,257344.99,-0.0552,22641.6,-0.0171,1.015437225
1,22,Hokkaido,"17,903,062",-0.0032,"1,428,931",-0.0231,"814,686",0.0101,"1,711,727",0.0265,"667,195,962",-0.4469,"103,968,000",0.152,"17,918,805",-0.0017,"1,720.80",149.7,257603.8,0.001,22347.3,-0.013,1.011813677
1,23,Hokkaido,"18,053,062",0.0084,"1,417,492",-0.008,"821,703",0.0086,"1,727,966",0.0095,"899,769,583",0.3486,"742,393,000",6.1406,"18,143,280",0.0125,"1,722.90",149.9,258262.7,0.0026,22309.9,-0.0017,1.001225222
1,24,Hokkaido,"18,008,967",-0.0024,"1,395,246",-0.0157,"827,218",0.0067,"1,766,459",0.0223,"797,667,574",-0.1135,"214,333,000",-0.7113,"18,038,373",-0.0058,"1,706.10",148.3,253014.6,-0.0203,22293.2,-0.0007,0.995897322
1,25,Hokkaido,"18,442,549",0.0241,"1,364,134",-0.0223,"819,406",-0.0094,"1,812,314",0.026,"1,608,441,943",1.0164,"204,077,000",-0.0479,"18,510,335",0.0262,"1,712.00",149.3,255601.6,0.0102,22526.3,0.0105,0.988954564
1,26,Hokkaido,"18,342,490",-0.0054,"1,353,238",-0.008,"819,817",0.0005,"1,783,293",-0.016,"4,282,152,534",1.6623,"468,853,000",1.2974,"18,474,494",-0.0019,"1,736.60",150.8,261879.3,0.0246,22983.2,0.0203,1.013075542
1,27,Hokkaido,"18,583,467",0.0131,"1,350,395",-0.0021,"823,412",0.0044,"1,842,187",0.033,"14,603,434,558",2.4103,"2,280,045,000",3.863,"18,737,241",0.0142,"1,755.50",147.3,258585.2,-0.0126,23327.1,0.015,1.029625527
1,28,Hokkaido,"18,375,422",-0.0112,"1,354,678",0.0032,"823,494",0.0001,"1,846,544",0.0024,"26,084,990,546",0.7862,"1,276,627,246",-0.4401,"18,482,443",-0.0136,1754.4,148.1,259826.6,0.0048,23679.1,0.0151,1.039832119
1,29,Hokkaido,"18,620,561",0.0133,"1,360,957",0.0046,"820,912",-0.0031,"1,850,529",0.0022,"34,981,985,174",0.3411,"2,297,476,108",0.7996,"18,788,337",0.0166,"1,770.30",147,260234.1,0.0016,,,1.043477745
2,20,Aomori,"4,214,950",,"437,010",,"194,707",,"358,988",,"44,356,702",,"16,761,000",,"4,144,951",,390.5,155,60527.5,,5076,,1.026000546
2,21,Aomori,"4,261,541",0.0111,"437,109",0.0002,"195,822",0.0057,"376,359",0.0484,"54,986,857",0.2397,"18,857,000",0.1251,"4,179,091",0.0082,399.5,154.2,61602.9,0.0178,4982.6,-0.0184,1.007149761
2,22,Aomori,"4,287,475",0.0061,"424,269",-0.0294,"199,949",0.0211,"386,362",0.0266,"38,337,423",-0.3028,"15,887,000",-0.1575,"4,267,681",0.0212,396.4,154.6,61283.4,-0.0052,4918.8,-0.0128,1.007057767
2,23,Aomori,"4,324,482",0.0086,"436,567",0.029,"201,115",0.0058,"389,090",0.0071,"92,161,559",1.404,"82,447,000",4.1896,"4,295,800",0.0066,398.1,154.8,61625.9,0.0056,4950.4,0.0064,1.001089842
2,24,Aomori,"4,385,639",0.0141,"428,148",-0.0193,"199,835",-0.0064,"399,787",0.0275,"88,346,602",-0.0414,"22,510,000",-0.727,"4,310,828",0.0035,400.2,155,62031,0.0066,4943.8,-0.0013,0.993213076
2,25,Aomori,"4,327,971",-0.0131,"415,030",-0.0306,"196,532",-0.0165,"412,139",0.0309,"80,253,061",-0.0916,"20,442,000",-0.0919,"4,321,516",0.0025,391,154.4,60370.4,-0.0268,4964.7,0.0042,0.990292449
2,26,Aomori,"4,319,245",-0.002,"415,951",0.0022,"196,331",-0.001,"404,693",-0.0181,"290,964,287",2.6256,"77,507,000",2.7916,"4,265,590",-0.0129,387.6,155.1,60116.8,-0.0042,5012.9,0.0097,1.007865958
2,27,Aomori,"4,437,909",0.0275,"423,083",0.0171,"194,009",-0.0118,"413,741",0.0224,"795,906,168",1.7354,"283,177,000",2.6536,"4,399,863",0.0315,394.6,154.6,61005.2,0.0148,5078.2,0.013,1.019444292
2,28,Aomori,"4,399,358",-0.0087,"420,256",-0.0067,"192,086",-0.0099,"415,802",0.005,"1,965,582,665",1.4696,"137,319,671",-0.5151,"4,350,831",-0.0111,400.8,152.5,61122,0.0019,5063.6,-0.0029,1.025223226
2,29,Aomori,"4,293,542",-0.0241,"419,068",-0.0028,"189,882",-0.0115,"415,432",-0.0009,"3,725,906,797",0.8956,"253,599,021",0.8468,"4,283,840",-0.0154,405,155.5,62977.5,0.0304,,,1.034856536
3,20,Iwate,"4,011,361",,"249,024",,"209,679",,"351,290",,"120,848,547",,"9,505,000",,"4,056,830",,408.5,156.4,63889.4,,5755.7,,1.032110049
3,21,Iwate,"3,929,046",-0.0205,"251,251",0.0089,"206,342",-0.0159,"357,870",0.0187,"155,920,024",0.2902,"13,560,000",0.4266,"3,981,715",-0.0185,406.8,150.2,61101.36,-0.0436,5620.2,-0.0235,1.027462646
3,22,Iwate,"3,937,497",0.0022,"250,886",-0.0015,"211,606",0.0255,"366,822",0.025,"175,419,340",0.1251,"9,250,000",-0.3178,"4,002,640",0.0053,400.1,155.5,62215.6,0.0182,5357.6,-0.0467,1.014340836
3,23,Iwate,"4,020,777",0.0212,"264,660",0.0549,"214,137",0.012,"367,456",0.0017,"2,870,446,474",15.3633,"109,078,000",10.7922,"4,089,866",0.0218,386.8,155.8,60263.4,-0.0314,5354.5,-0.0006,1.000308149
3,24,Iwate,"4,176,284",0.0387,"259,453",-0.0197,"216,968",0.0132,"383,973",0.0449,"593,131,375",-0.7934,"26,054,000",-0.7611,"4,222,939",0.0325,410.3,158.7,65114.6,0.0805,5289.6,-0.0121,1.001872478
3,25,Iwate,"4,343,190",0.04,"256,320",-0.0121,"213,072",-0.018,"391,976",0.0208,"366,166,948",-0.3827,"24,506,000",-0.0594,"4,386,181",0.0387,410,158.4,64944,-0.0026,5428.1,0.0262,1.001881797
3,26,Iwate,"4,372,298",0.0067,"257,838",0.0059,"210,675",-0.0112,"380,626",-0.029,"568,412,552",0.5523,"69,809,000",1.8486,"4,405,179",0.0043,415.5,158,65649,0.0109,5458.9,0.0057,1.019437376
3,27,Iwate,"4,401,519",0.0067,"258,000",0.0006,"215,442",0.0226,"395,931",0.0402,"2,296,437,817",3.0401,"296,720,000",3.2505,"4,441,395",0.0082,412.7,155.9,64339.9,-0.0199,5467.9,0.0016,1.036629854
3,28,Iwate,"4,363,985",-0.0085,"257,522",-0.0019,"214,160",-0.006,"398,291",0.006,"2,912,130,506",0.2681,"171,783,855",-0.4211,"4,390,622",-0.0114,415.8,154.5,64241.1,-0.0015,5517.1,0.009,1.043754733
3,29,Iwate,"4,457,328",0.0214,"262,335",0.0187,"210,719",-0.0161,"395,720",-0.0065,"3,522,458,239",0.2096,"298,093,868",0.7353,"4,484,419",0.0214,414.3,154.9,64175.1,-0.001,,,1.043503642
4,20,Miyagi,"7,780,359",,"523,502",,"383,750",,"563,345",,"51,813,638",,"21,845,000",,"7,763,344",,825.8,147.9,122135.82,,10099.4,,1.032199285
4,21,Miyagi,"7,647,470",-0.0171,"529,471",0.0114,"392,459",0.0227,"588,759",0.0451,"94,365,055",0.8212,"27,707,000",0.2683,"7,618,026",-0.0187,788,146.2,115205.6,-0.0567,9969,-0.0129,1.022687895
4,22,Miyagi,"7,770,883",0.0161,"509,917",-0.0369,"399,913",0.019,"609,222",0.0348,"152,728,319",0.6185,"25,137,000",-0.0928,"7,674,050",0.0074,777.5,147.5,114681.3,-0.0046,9099,-0.0873,1.012471041
4,23,Miyagi,"7,740,941",-0.0039,"523,473",0.0266,"422,425",0.0563,"615,325",0.01,"763,290,847",3.9977,"175,398,000",5.9777,"7,683,337",0.0012,760.1,147.1,111810.7,-0.025,9234.8,0.0149,1.000263534
4,24,Miyagi,"8,476,330",0.095,"537,874",0.0275,"419,814",-0.0062,"654,586",0.0638,"301,938,583",-0.6044,"71,854,000",-0.5903,"8,419,804",0.0959,805.9,154.3,124350.4,0.1122,9499,0.0286,0.993211921
4,25,Miyagi,"8,816,630",0.0401,"537,599",-0.0005,"410,753",-0.0216,"649,292",-0.0081,"362,847,236",0.2017,"72,361,000",0.0071,"8,769,920",0.0416,806.8,150.8,121665.4,-0.0216,9761.8,0.0277,0.990061282
4,26,Miyagi,"9,003,604",0.0212,"566,398",0.0536,"403,376",-0.018,"642,986",-0.0097,"766,763,800",1.1132,"213,993,000",1.9573,"8,986,100",0.0247,819.7,150.1,123037,0.0113,9983.4,0.0227,1.009386463
